0.0	3.33
4.0	20.0
20.67	28.0
34.67	44.0
44.67	74.67
82.0	92.67
93.33	106.0
106.67	112.0
112.67	121.33
132.0	142.0
142.67	164.67
166.0	179.33
180.0	188.0
188.67	200.67
201.33	211.33
212.0	223.33
238.0	12.0
241.33	259.33
268.67	272.67
273.33	280.67
289.33	302.67
309.33	15.57
312.67	326.67
327.33	349.33
350.0	366.0
366.67	379.33
380.67	398.67
399.33	406.0
406.67	421.33
422.0	431.33
432.0	446.67
447.33	453.33
485.33	503.33
504.0	516.0
530.0	548.67
549.33	556.67
557.33	571.33
572.0	580.67
581.33	600.0
604.0	607.33
613.33	620.0
620.67	632.0
632.67	658.0
674.0	696.67
697.33	736.67
737.33	746.0
746.67	764.0
764.67	796.67
797.33	814.67
815.33	827.33
828.0	834.67
835.33	857.33
858.0	962.0
