0.0	4.0
4.67	23.33
24.0	45.33
46.67	51.33
52.0	60.0
60.67	68.0
68.67	74.67
75.33	78.67
81.33	103.33
104.0	108.0
108.67	115.33
118.67	124.67
127.33	130.67
131.33	137.33
138.0	143.33
144.0	150.67
152.0	159.33
163.33	8.27
166.67	187.33
188.0	204.0
204.67	222.67
223.33	244.67
245.33	254.0
255.33	265.33
266.67	272.67
273.33	278.0
279.33	284.67
286.67	302.0
304.67	317.33
318.0	16.0
322.0	350.0
352.67	361.33
362.0	377.33
379.33	19.07
382.67	390.0
393.33	399.33
400.0	406.0
407.33	412.0
412.67	421.33
422.67	430.0
430.67	444.67
446.0	458.0
460.0	472.0
474.0	484.0
484.67	517.33
518.0	26.0
521.33	559.33
560.0	590.0
590.67	597.33
598.0	622.0
622.67	642.67
644.67	665.33
666.0	708.0
708.67	722.67
723.33	748.0
752.67	774.67
781.33	788.0
788.67	798.0
798.67	826.0
826.0	832.67
833.33	862.0
862.67	868.0
876.67	882.67
888.67	897.33
898.0	909.33
912.0	45.7
915.33	926.67
930.67	942.0
942.67	1076.0
1076.67	53.93
1080.0	1098.0
1223.33	61.33
