level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	70	218	490	90	-1	
3	1	1	1	0	0	70	218	490	90	-1	
4	1	1	1	1	0	70	218	490	90	-1	
5	1	1	1	1	1	70	218	490	90	95	 
2	1	2	0	0	0	107	325	178	23	-1	
3	1	2	1	0	0	107	325	178	23	-1	
4	1	2	1	1	0	107	325	178	23	-1	
5	1	2	1	1	1	107	326	105	22	96	THANK
5	1	2	1	1	2	221	325	64	23	96	YOU
2	1	3	0	0	0	113	413	114	11	-1	
3	1	3	1	0	0	113	413	114	11	-1	
4	1	3	1	1	0	113	413	114	11	-1	
5	1	3	1	1	1	113	413	46	11	92	COLIN
5	1	3	1	1	2	160	405	21	28	92	M.
5	1	3	1	1	3	187	413	40	11	97	GRAY
2	1	4	0	0	0	70	366	490	136	-1	
3	1	4	1	0	0	70	366	490	136	-1	
4	1	4	1	1	0	70	366	490	136	-1	
5	1	4	1	1	1	70	366	490	136	95	 

