level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	53	225	430	17	-1	
3	1	1	1	0	0	53	225	430	17	-1	
4	1	1	1	1	0	53	225	430	17	-1	
5	1	1	1	1	1	53	225	24	14	89	H1:
5	1	1	1	1	2	84	225	49	14	95	Colors
5	1	1	1	1	3	139	225	23	14	96	will
5	1	1	1	1	4	169	225	18	14	96	be
5	1	1	1	1	5	193	229	38	10	93	more
5	1	1	1	1	6	238	225	101	14	92	discriminable
5	1	1	1	1	7	345	229	18	10	96	on
5	1	1	1	1	8	369	225	53	14	96	denser
5	1	1	1	1	9	428	225	55	17	96	shapes
2	1	2	0	0	0	16	174	600	372	-1	
3	1	2	1	0	0	16	174	600	372	-1	
4	1	2	1	1	0	16	174	600	372	-1	
5	1	2	1	1	1	16	174	600	372	95	 

