0.0	3.33
4.0	14.0
14.67	34.67
35.33	49.33
50.0	85.33
86.0	98.0
98.67	109.33
110.0	116.0
116.67	128.67
129.33	155.33
156.0	189.33
190.0	200.0
200.67	10.13
204.0	221.33
222.0	244.0
244.67	248.67
249.33	12.57
252.67	12.73
256.0	282.67
283.33	295.33
296.0	312.67
313.33	338.67
339.33	363.33
364.0	381.33
382.0	403.33
404.0	420.67
421.33	453.33
454.0	459.33
460.0	473.33
474.67	486.0
493.33	501.33
501.33	544.67
545.33	573.33
574.0	579.33
580.0	596.0
596.67	613.33
614.0	628.0
628.67	642.67
644.0	654.0
655.33	660.67
661.33	695.33
696.0	780.0
780.67	1057.33
1063.33	1095.33
1096.0	1099.33
1100.0	1108.67
