level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	48	207	393	50	-1	
3	1	1	1	0	0	48	207	393	50	-1	
4	1	1	1	1	0	49	207	392	20	-1	
5	1	1	1	1	1	49	208	53	19	96	Error
5	1	1	1	1	2	112	207	78	20	96	Results
5	1	1	1	1	3	199	207	32	20	96	for
5	1	1	1	1	4	240	207	102	20	96	Selection
5	1	1	1	1	5	353	207	88	20	96	Method
4	1	1	1	2	0	48	233	276	24	-1	
5	1	1	1	2	1	48	233	68	24	95	(Dwell
5	1	1	1	2	2	126	239	23	14	96	vs
5	1	1	1	2	3	158	233	65	22	96	Quick
5	1	1	1	2	4	233	233	91	24	96	Release)
2	1	2	0	0	0	307	304	295	71	-1	
3	1	2	1	0	0	307	304	295	71	-1	
4	1	2	1	1	0	308	304	245	18	-1	
5	1	2	1	1	1	308	305	62	13	96	Number
5	1	2	1	1	2	375	304	15	14	96	of
5	1	2	1	1	3	396	305	41	13	95	levels
5	1	2	1	1	4	444	307	58	14	96	impacts
5	1	2	1	1	5	508	305	45	17	86	speed
4	1	2	1	2	0	307	332	252	15	-1	
5	1	2	1	2	1	307	333	43	14	96	Quick
5	1	2	1	2	2	357	333	56	13	92	Release
5	1	2	1	2	3	419	333	58	13	94	reduces
5	1	2	1	2	4	483	333	26	13	96	this
5	1	2	1	2	5	516	332	43	14	95	effect
4	1	2	1	3	0	307	360	295	15	-1	
5	1	2	1	3	1	307	361	45	14	96	Quick
5	1	2	1	3	2	358	361	56	13	93	release
5	1	2	1	3	3	420	361	11	13	93	is
5	1	2	1	3	4	438	360	43	14	96	much
5	1	2	1	3	5	488	365	41	9	96	more
5	1	2	1	3	6	534	362	68	12	95	accurate
2	1	3	0	0	0	0	174	640	372	-1	
3	1	3	1	0	0	0	174	640	372	-1	
4	1	3	1	1	0	0	174	640	372	-1	
5	1	3	1	1	1	0	174	640	372	95	 

