level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	70	174	494	372	-1	
3	1	1	1	0	0	70	174	494	372	-1	
4	1	1	1	1	0	70	174	494	372	-1	
5	1	1	1	1	1	70	174	494	372	95	 
2	1	2	0	0	0	88	190	303	14	-1	
3	1	2	1	0	0	88	190	303	14	-1	
4	1	2	1	1	0	88	190	303	14	-1	
5	1	2	1	1	1	88	190	81	13	96	CAPACITY
5	1	2	1	1	2	175	190	91	14	96	ACHIEVING
5	1	2	1	1	3	273	190	118	14	96	DISTRIBUTION
2	1	3	0	0	0	241	238	9	10	-1	
3	1	3	1	0	0	241	238	9	10	-1	
4	1	3	1	1	0	241	238	9	10	-1	
5	1	3	1	1	1	241	238	9	10	72	W
2	1	4	0	0	0	119	273	97	14	-1	
3	1	4	1	0	0	119	273	97	14	-1	
4	1	4	1	1	0	119	273	97	14	-1	
5	1	4	1	1	1	119	273	27	10	81	Fitts’
5	1	4	1	1	2	154	274	62	13	95	paradigm
2	1	5	0	0	0	125	379	44	14	-1	
3	1	5	1	0	0	125	379	44	14	-1	
4	1	5	1	1	0	125	379	44	14	-1	
5	1	5	1	1	1	125	379	6	7	78	X
5	1	5	1	1	2	136	380	33	13	90	input
2	1	6	0	0	0	284	479	97	14	-1	
3	1	6	1	0	0	284	479	97	14	-1	
4	1	6	1	1	0	284	479	97	14	-1	
5	1	6	1	1	1	284	482	16	11	96	ing
5	1	6	1	1	2	305	479	10	11	88	is
5	1	6	1	1	3	319	479	62	14	96	choosing

