level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	175	300	285	38	-1	
3	1	1	1	0	0	175	300	285	38	-1	
4	1	1	1	1	0	175	300	285	14	-1	
5	1	1	1	1	1	175	301	11	13	94	A
5	1	1	1	1	2	193	300	62	14	93	Formal
5	1	1	1	1	3	262	300	198	14	91	Information-Theoretic
4	1	1	1	2	0	182	324	265	14	-1	
5	1	1	1	2	1	182	324	118	13	96	Transmission
5	1	1	1	2	2	306	324	73	13	96	Scheme
5	1	1	1	2	3	385	324	62	14	96	(FITTS)
2	1	2	0	0	0	170	357	180	41	-1	
3	1	2	1	0	0	170	357	180	41	-1	
4	1	2	1	1	0	170	357	115	10	-1	
5	1	2	1	1	1	170	360	2	6	35	Fi,
5	1	2	1	1	2	184	359	6	8	55	O.
5	1	2	1	1	3	200	357	28	10	84	Rioul,
5	1	2	1	1	4	241	357	17	9	93	and
5	1	2	1	1	5	266	361	2	5	84	Y.
5	1	2	1	1	6	277	359	8	7	81	G
4	1	2	1	2	0	170	373	180	9	-1	
5	1	2	1	2	1	170	373	77	9	95	movement:
5	1	2	1	2	2	238	363	10	28	95	A
5	1	2	1	2	3	250	363	39	28	93	formal
5	1	2	1	2	4	291	373	59	9	81	informati
4	1	2	1	3	0	249	389	97	9	-1	
5	1	2	1	3	1	240	380	29	28	96	ACM
5	1	2	1	3	2	274	390	72	8	96	Transaction
2	1	3	0	0	0	203	501	134	28	-1	
3	1	3	1	0	0	203	501	134	28	-1	
4	1	3	1	1	0	298	501	34	13	-1	
5	1	3	1	1	1	298	501	34	13	46	-print
4	1	3	1	2	0	203	521	134	8	-1	
5	1	3	1	2	1	203	521	19	8	56	hal.
5	1	3	1	2	2	234	521	103	8	56	archives-ouver
2	1	4	0	0	0	70	174	494	372	-1	
3	1	4	1	0	0	70	174	494	372	-1	
4	1	4	1	1	0	70	174	494	372	-1	
5	1	4	1	1	1	70	174	494	372	95	 

