level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	114	288	363	32	-1	
3	1	1	1	0	0	114	288	363	32	-1	
4	1	1	1	1	0	114	288	363	11	-1	
5	1	1	1	1	1	114	288	3	6	96	Even
5	1	1	1	1	2	130	288	52	10	30	thou:
5	1	1	1	1	3	238	295	35	3	67	lawis
5	1	1	1	1	4	327	289	31	10	96	used
5	1	1	1	1	5	353	280	20	28	96	in
5	1	1	1	1	6	379	288	22	10	78	HCI,
5	1	1	1	1	7	404	280	12	28	87	it
5	1	1	1	1	8	422	288	36	10	87	suffers
5	1	1	1	1	9	470	288	7	10	96	fr
4	1	1	1	2	0	114	309	69	11	-1	
5	1	1	1	2	1	114	309	33	11	93	many
5	1	1	1	2	2	173	309	10	7	88	issue
2	1	2	0	0	0	299	360	132	14	-1	
3	1	2	1	0	0	299	360	132	14	-1	
4	1	2	1	1	0	299	360	132	14	-1	
5	1	2	1	1	1	299	360	16	11	85	for
5	1	2	1	1	2	321	360	22	11	85	this
5	1	2	1	1	3	349	361	82	13	96	presentation
2	1	3	0	0	0	70	174	494	372	-1	
3	1	3	1	0	0	70	174	494	372	-1	
4	1	3	1	1	0	70	174	494	372	-1	
5	1	3	1	1	1	70	174	494	372	95	 

