level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	134	309	367	38	-1	
3	1	1	1	0	0	134	309	367	38	-1	
4	1	1	1	1	0	134	309	367	14	-1	
5	1	1	1	1	1	134	309	54	14	96	FITTS:
5	1	1	1	1	2	195	312	10	11	96	A
5	1	1	1	1	3	211	309	68	14	92	FORMAL
5	1	1	1	1	4	286	309	215	14	91	INFORMATION-THEORETIC
4	1	1	1	2	0	217	334	200	13	-1	
5	1	1	1	2	1	217	334	124	13	96	TRANSMISSION
5	1	1	1	2	2	348	334	69	13	96	SCHEME
2	1	2	0	0	0	70	174	494	372	-1	
3	1	2	1	0	0	70	174	494	372	-1	
4	1	2	1	1	0	70	174	494	372	-1	
5	1	2	1	1	1	70	174	494	372	95	 

