level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	88	190	414	14	-1	
3	1	1	1	0	0	88	190	414	14	-1	
4	1	1	1	1	0	88	190	414	14	-1	
5	1	1	1	1	1	88	190	79	13	96	PROBLEM
5	1	1	1	1	2	174	190	14	13	94	2:
5	1	1	1	1	3	196	190	50	14	96	NOISY
5	1	1	1	1	4	253	193	125	10	96	MANIPULATION
5	1	1	1	1	5	384	193	21	10	96	OF
5	1	1	1	1	6	411	190	91	13	96	ACCURACY
2	1	2	0	0	0	70	174	494	372	-1	
3	1	2	1	0	0	70	174	494	372	-1	
4	1	2	1	1	0	70	174	494	372	-1	
5	1	2	1	1	1	70	174	494	372	95	 

