level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	99	206	104	20	-1	
3	1	1	1	0	0	99	206	104	20	-1	
4	1	1	1	1	0	99	206	104	20	-1	
5	1	1	1	1	1	99	206	104	20	96	Interface
2	1	2	0	0	0	347	278	78	8	-1	
3	1	2	1	0	0	347	278	78	8	-1	
4	1	2	1	1	0	347	278	78	8	-1	
5	1	2	1	1	1	347	278	52	8	80	Background
5	1	2	1	1	2	403	279	22	6	89	noise
2	1	3	0	0	0	121	479	96	16	-1	
3	1	3	1	0	0	121	479	96	16	-1	
4	1	3	1	1	0	121	479	96	16	-1	
5	1	3	1	1	1	121	479	41	12	96	audio
5	1	3	1	1	2	168	479	49	16	89	quality.
2	1	4	0	0	0	74	174	492	372	-1	
3	1	4	1	0	0	74	174	492	372	-1	
4	1	4	1	1	0	74	174	492	372	-1	
5	1	4	1	1	1	74	174	492	372	95	 

