level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	93	226	288	25	-1	
3	1	1	1	0	0	93	226	288	25	-1	
4	1	1	1	1	0	93	226	288	25	-1	
5	1	1	1	1	1	93	226	123	25	96	Recording
5	1	1	1	1	2	226	226	45	19	96	with
5	1	1	1	1	3	281	226	100	20	96	baseline
2	1	2	0	0	0	84	333	472	25	-1	
3	1	2	1	0	0	84	333	472	25	-1	
4	1	2	1	1	0	84	333	472	25	-1	
5	1	2	1	1	1	148	329	14	39	21	a
5	1	2	1	1	2	171	329	20	39	39	at
5	1	2	1	1	3	193	329	79	39	42	th
5	1	2	1	1	4	84	333	472	25	29	lt
2	1	3	0	0	0	74	174	492	372	-1	
3	1	3	1	0	0	74	174	492	372	-1	
4	1	3	1	1	0	74	174	492	372	-1	
5	1	3	1	1	1	74	174	492	372	95	 

