level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	100	272	249	21	-1	
3	1	1	1	0	0	100	272	249	21	-1	
4	1	1	1	1	0	100	272	249	21	-1	
5	1	1	1	1	1	100	272	74	21	95	Value
5	1	1	1	1	2	183	272	166	21	96	Orientations
2	1	2	0	0	0	100	330	112	42	-1	
3	1	2	1	0	0	100	330	112	42	-1	
4	1	2	1	1	0	100	330	77	9	-1	
5	1	2	1	1	1	100	330	22	9	85	Two
5	1	2	1	1	2	125	330	44	9	91	themes:
5	1	2	1	1	3	175	336	2	2	73	V
4	1	2	1	2	0	100	361	112	11	-1	
5	1	2	1	2	1	100	361	41	11	92	Applies
5	1	2	1	2	2	145	361	28	8	96	value
5	1	2	1	2	3	177	361	35	8	96	codes:
2	1	3	0	0	0	100	393	115	8	-1	
3	1	3	1	0	0	100	393	115	8	-1	
4	1	3	1	1	0	100	393	115	8	-1	
5	1	3	1	1	1	100	393	54	8	95	Attributes
5	1	3	1	1	2	158	393	23	8	96	idea
5	1	3	1	1	3	184	393	31	8	89	codes:
2	1	4	0	0	0	70	218	490	284	-1	
3	1	4	1	0	0	70	218	490	284	-1	
4	1	4	1	1	0	70	218	490	284	-1	
5	1	4	1	1	1	70	218	490	284	95	 

