17,10
31,3
19,24
14,49
30,29
49,50
6,20
43,0
49,50
15,20
13,40
25,40
18,0
21,30
7,0
30,10
21,50
31,40
12,30
13,30
46,28
45,50
20,50
1,10
58,30
36,0
5,38
18,34
46,1
21,40
35,40
37,50
27,3
49,18
50,30
29,10
49,30
48,29
31,40
22,24
38,0
50,30
53,57
28,50
30,20
6,20
29,40
46,30
29,10
51,30
7,0
2,20
42,30
55,20
46,55
19,30
46,20
10,3
54,30
42,35
40,40
36,0
11,30
30,40
10,35
38,10
49,10
16,40
9,36
17,20
59,30
55,27
54,10
21,51
44,0
9,40
38,50
1,30
42,20
28,0
30,10
7,50
47,33
21,10
2,30
47,43
56,30
6,20
25,40
41,50
45,40
56,20
12,3
6,30
58,10
18,30
54,10
36,10
54,30
40,50
59,0
51,30
0,50
38,10
10,30
52,50
18,0
25,20
6,17
59,0
19,20
34,0
50,50
29,0
44,50
42,50
10,10
0,10
51,40
16,0
19,21
22,30
11,30
34,40
47,10
2,10
6,50
11,10
18,10
54,50
37,40
25,40
3,50
17,20
3,50
41,20
53,50
20,10
59,30
43,50
40,0
10,40
49,40
2,10
10,20
38,0
46,50
47,50
34,40
33,20
16,10
35,29
32,40
29,43
43,36
37,10
46,50
50,40
22,0
56,40
18,50
7,30
33,30
6,40
42,20
6,0
15,25
54,35
56,20
59,43
48,20
30,48
37,50
59,20
9,55
21,40
4,28
7,0
24,0
49,50
1,10
3,33
30,34
44,27
33,50
1,51
46,54
23,20
4,0
12,20
54,0
20,0
59,10
40,40
17,30
19,10
23,23
32,0
40,0
2,0
32,40
4,30
0,43
42,10
51,50
48,40
17,10
53,21
59,0
34,34
23,0
11,40
30,20
11,20
52,30
38,11
8,11
46,41
58,50
9,40
29,13
8,50
17,48
11,30
14,30
28,23
18,40
42,40
55,10
50,30
10,10
57,10
36,20
15,3
18,52
13,30
18,10
58,40
5,20
38,50
30,29
8,0
26,50
56,32
54,17
53,2
32,0
25,40
0,0
37,0
51,0
56,50
48,8
25,31
54,57
53,40
27,30
14,40
15,50
36,26
19,0
13,32
27,25
10,40
31,30
44,0
45,10
20,40
10,40
52,20
