10,11
12,9
5,7
30,15
57,20
59,21
32,57
33,5
41,34
48,50
30,39
41,13
41,40
56,18
4,33
18,41
15,0
42,21
3,21
16,40
14,50
53,28
35,40
7,54
57,51
16,50
27,57
5,50
15,47
48,0
42,11
9,0
56,56
19,40
47,20
34,23
7,0
29,38
42,50
10,0
52,42
51,10
31,21
29,51
7,34
6,17
38,50
1,46
37,47
51,7
56,6
30,57
20,40
4,10
29,30
41,20
3,47
39,55
47,57
4,34
43,17
12,55
6,6
29,47
36,20
30,37
24,11
20,8
54,43
21,37
39,10
35,59
38,20
19,57
31,50
38,20
11,30
16,4
32,50
59,35
19,7
54,20
36,7
58,35
41,5
44,40
15,30
31,19
59,30
9,40
42,50
2,25
26,50
9,50
47,8
55,0
35,20
42,0
51,0
53,16
35,30
51,28
25,30
1,50
25,27
56,30
47,36
52,0
23,47
2,9
35,7
32,27
25,0
31,57
6,27
43,15
54,35
25,30
19,16
46,39
59,8
30,10
7,19
38,52
23,50
3,17
7,18
41,48
52,33
18,4
3,21
15,25
38,26
36,30
33,51
19,30
35,0
15,52
10,13
10,8
8,15
58,46
29,41
43,34
52,40
43,52
5,0
6,40
20,33
34,26
48,19
13,50
27,43
49,10
2,25
13,20
19,20
50,9
21,30
23,1
57,55
41,34
20,23
54,20
8,13
15,52
38,17
5,40
33,37
0,36
19,10
40,40
14,3
31,41
1,31
32,20
10,0
34,10
30,54
30,10
44,53
2,10
0,30
