,Unnamed: 0,Unnamed: 0.1,title,paper_file,video_file,subtitle_file,video_url,data_imported
31,31.0,31.0,Beyond Behavior: The Coach's Perspective on Technology in Health Coaching,3290605.3300900.pdf,./video/31.mp4,./__subtitles/31.srt,https://www.youtube.com/watch?v=oxorAXoEmf8,N
32,32.0,32.0,"Springlets: Expressive, Flexible and Silent On-Skin Tactile Interfaces",hamdan2019a.pdf,./video/32.mp4,./__subtitles/32.srt,https://www.youtube.com/watch?v=a6vAbQd4AnU,N
33,33.0,33.0,SottoVoce: An Ultrasound Imaging-Based Silent Speech Interaction Using Deep Neural Networks,sottovoce_preprint.pdf,./video/33.mp4,./__subtitles/33.srt,https://www.youtube.com/watch?v=j5xWL4MpB0U,N
34,34.0,34.0,VARI-SOUND: A Varifocal Lens for Sound,paper483.pdf,./video/34.mp4,./__subtitles/34.srt,https://www.youtube.com/watch?v=T8d6VnuYBRE,N
35,35.0,35.0,Crowdworker Economics in the Gig Economy,3290605.3300621.pdf,./video/35.mp4,./__subtitles/35.srt,https://www.youtube.com/watch?v=S8KQVzMabSg,N
36,36.0,36.0,Augmenting Couples' Communication with Lifelines: Shared Timelines of Mixed Contextual Information,3290605.3300853.pdf,./video/36.mp4,./__subtitles/36.srt,https://www.youtube.com/watch?v=wFb8w7mPEsQ,N
37,37.0,37.0,SIGCHI Research Ethics Town Hall,,./video/37.mp4,./__subtitles/37.srt,https://www.youtube.com/watch?v=DP1lDXtI5lE,N
38,38.0,38.0,A Change of Perspective: Designing the Automated Vehicle as a New Social Actor in a Public Space,,./video/38.mp4,./__subtitles/38.srt,https://www.youtube.com/watch?v=SmnSU4QceSk,N
39,39.0,39.0,Lab Hackathons to Overcome Laboratory Equipment Shortages in Africa: Opportunities and Challenges,,./video/39.mp4,./__subtitles/39.srt,https://www.youtube.com/watch?v=PlSGBQNw19w,N
40,40.0,40.0,Reveal: Investigating Proactive Location-Based Reminiscing with Personal Digital Photo Repositories,paper435.pdf,./video/40.mp4,./__subtitles/40.srt,https://www.youtube.com/watch?v=s1YPKeVpqvw,N
41,41.0,41.0,Understanding Abusive Behaviour Between Online and Offline Group Discussions,,./video/41.mp4,./__subtitles/41.srt,https://www.youtube.com/watch?v=JumPCd2jeQE,N
42,42.0,42.0,Nurturing Constructive Disagreement - Agonistic Design with Neurodiverse Children,paper271.pdf,./video/42.mp4,./__subtitles/42.srt,https://www.youtube.com/watch?v=48Qo2SUcvM4,N
43,43.0,43.0,Why Do You Need This? Selective Disclosure of Data Among Citizen Scientists,Cox_paper392.pdf,./video/43.mp4,./__subtitles/43.srt,https://www.youtube.com/watch?v=skiexlNxdaQ,N
44,44.0,44.0,"Understanding Digitally-Mediated Empathy: An Exploration of Visual, Narrative, and Biosensory ...",digitally_mediated.pdf,./video/44.mp4,./__subtitles/44.srt,https://www.youtube.com/watch?v=K73358n7dqI,N
45,45.0,45.0,Explorations on Single Usability Metrics,,./video/45.mp4,./__subtitles/45.srt,https://www.youtube.com/watch?v=WQSJi95wEOk,N
46,46.0,46.0,Interferi: Gesture Sensing using On-Body Acoustic Interferometry,Interferi.pdf,./video/46.mp4,./__subtitles/46.srt,https://www.youtube.com/watch?v=xBpBBpQh7GI,N
47,47.0,47.0,Bringing Shades of Feminism to Human-Centered Computing,,./video/47.mp4,./__subtitles/47.srt,https://www.youtube.com/watch?v=SN7xUEYCKmU,N
48,48.0,48.0,Designing an Informal Learning Curriculum to Develop 3D Modeling Knowledge and Improve Spatial ...,,./video/48.mp4,./__subtitles/48.srt,https://www.youtube.com/watch?v=9N1zyJ65Zhk,N
49,49.0,49.0,Navigating Ride-Sharing Regulations: How Regulations Changed the 'Gig' of Ride-Sharing for ...,3290605.3300366.pdf,./video/49.mp4,./__subtitles/49.srt,https://www.youtube.com/watch?v=7cV4xlsEeks,N
50,50.0,50.0,Countermeasures: Learning to Lie to Objects,,./video/50.mp4,./__subtitles/50.srt,https://www.youtube.com/watch?v=XM6v00NFGHI,N
51,51.0,51.0,Factitious: Large Scale Computer Game to Fight Fake News and Improve News Literacy,,./video/51.mp4,./__subtitles/51.srt,https://www.youtube.com/watch?v=tW_Mdo4tKzw,N
52,52.0,52.0,Towards Novel Urban Planning Methods -- Using Eye-tracking Systems to Understand Human Attention ...,,./video/52.mp4,./__subtitles/52.srt,https://www.youtube.com/watch?v=jh07Xwl6SVY,N
53,53.0,53.0,SENSEI: Harnessing Community Wisdom for Local Environmental Monitoring in Finland,,./video/53.mp4,./__subtitles/53.srt,https://www.youtube.com/watch?v=fvqMZHiFFfI,N
54,54.0,54.0,Lessons Learned from Research via Private Social Media Groups,,./video/54.mp4,./__subtitles/54.srt,https://www.youtube.com/watch?v=bwWrOZdxIsw,N
55,55.0,55.0,Providing Access to VR Through a Wheelchair,,./video/55.mp4,./__subtitles/55.srt,https://www.youtube.com/watch?v=T3xQVeHYV44,N
56,56.0,56.0,How to Carry Out Usability Studies with Visually Impaired Children,,./video/56.mp4,./__subtitles/56.srt,https://www.youtube.com/watch?v=4FPuZj3tHJ4,N
57,57.0,57.0,"""TechShops"" Engaging Young Adults with Intellectual Disability in Exploratory Design Research",,./video/57.mp4,./__subtitles/57.srt,https://www.youtube.com/watch?v=OnYAUe7xp-c,N
58,58.0,58.0,Young Children's Reading and Learning with Conversational Agents,,./video/58.mp4,./__subtitles/58.srt,https://www.youtube.com/watch?v=Xtn1cUnUXn8,N
59,59.0,59.0,Children's Reflection in Action with DIY,,./video/59.mp4,./__subtitles/59.srt,https://www.youtube.com/watch?v=MvgGzZD-cQs,N
60,60.0,60.0,Teaching Data Visualization and Storytelling with Data Comic Workshops,,./video/60.mp4,./__subtitles/60.srt,https://www.youtube.com/watch?v=XAMBfyaWjsI,N
61,61.0,61.0,Effects of Participatory Evaluation – A Critical Actor-Network Analysis,,./video/61.mp4,./__subtitles/61.srt,https://www.youtube.com/watch?v=cMXf91FWQGU,N
62,62.0,62.0,Multimodal Speech-based Dialogue for the Mini-Mental State Examination,,./video/62.mp4,./__subtitles/62.srt,https://www.youtube.com/watch?v=NSc1wN89c-A,N
63,63.0,63.0,Social Media as a Passive Sensor in Longitudinal Studies of Human Behavior and Wellbeing,,./video/63.mp4,./__subtitles/63.srt,https://www.youtube.com/watch?v=aHzd6HxnGB4,N
