level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	24	222	250	24	-1	
3	1	1	1	0	0	24	222	250	24	-1	
4	1	1	1	1	0	24	222	250	24	-1	
5	1	1	1	1	1	24	222	18	19	96	3.
5	1	1	1	1	2	52	222	50	19	96	Goal
5	1	1	1	1	3	112	222	75	24	96	Setting
5	1	1	1	1	4	196	222	78	24	96	Theory
2	1	2	0	0	0	24	250	244	14	-1	
3	1	2	1	0	0	24	250	244	14	-1	
4	1	2	1	1	0	24	250	244	14	-1	
5	1	2	1	1	1	24	251	41	12	93	Locke
5	1	2	1	1	2	71	250	10	13	93	&
5	1	2	1	1	3	86	251	52	12	96	Latham
5	1	2	1	1	4	145	250	38	14	96	1990,
5	1	2	1	1	5	189	250	38	14	96	2002,
5	1	2	1	1	6	234	250	34	13	95	2006
2	1	3	0	0	0	23	293	201	60	-1	
3	1	3	1	0	0	23	293	201	60	-1	
4	1	3	1	1	0	23	293	81	12	-1	
5	1	3	1	1	1	23	293	39	12	96	What
5	1	3	1	1	2	68	293	11	12	90	is
5	1	3	1	1	3	86	293	18	12	90	it?
4	1	3	1	2	0	32	315	192	16	-1	
5	1	3	1	2	1	32	319	7	7	42	©
5	1	3	1	2	2	56	315	37	16	58	goals
5	1	3	1	2	3	99	316	34	11	96	must
5	1	3	1	2	4	138	315	17	12	96	be
5	1	3	1	2	5	161	315	63	15	94	accepted
4	1	3	1	3	0	32	337	160	16	-1	
5	1	3	1	3	1	32	341	7	7	58	©
5	1	3	1	3	2	44	327	75	33	79	feedback
5	1	3	1	3	3	126	327	65	33	96	important
2	1	4	0	0	0	32	360	187	15	-1	
3	1	4	1	0	0	32	360	187	15	-1	
4	1	4	1	1	0	32	360	187	15	-1	
5	1	4	1	1	1	56	360	57	15	32	difficulty
5	1	4	1	1	2	118	360	25	12	96	and
5	1	4	1	1	3	150	360	69	15	86	specificity
2	1	5	0	0	0	31	405	202	15	-1	
3	1	5	1	0	0	31	405	202	15	-1	
4	1	5	1	1	0	31	405	202	15	-1	
5	1	5	1	1	1	31	405	34	15	96	Why
5	1	5	1	1	2	70	405	37	12	96	does
5	1	5	1	1	3	112	405	23	12	96	the
5	1	5	1	1	4	141	405	35	12	96	HAM
5	1	5	1	1	5	183	408	26	9	96	use
5	1	5	1	1	6	215	405	18	12	94	it?
2	1	6	0	0	0	32	442	277	37	-1	
3	1	6	1	0	0	32	442	277	37	-1	
4	1	6	1	1	0	32	442	277	15	-1	
5	1	6	1	1	1	32	445	7	8	47	©
5	1	6	1	1	2	56	442	37	15	68	goals
5	1	6	1	1	3	98	442	34	12	94	drive
5	1	6	1	1	4	138	442	81	12	92	behavioural
5	1	6	1	1	5	226	443	64	14	96	repetition
5	1	6	1	1	6	297	443	12	11	83	to
4	1	6	1	2	0	56	464	163	15	-1	
5	1	6	1	2	1	56	465	53	14	96	support
5	1	6	1	2	2	114	464	34	12	96	habit
5	1	6	1	2	3	153	464	66	12	92	formation
2	1	7	0	0	0	576	509	44	8	-1	
3	1	7	1	0	0	576	509	44	8	-1	
4	1	7	1	1	0	576	509	44	8	-1	
5	1	7	1	1	1	572	498	14	28	57	fon
5	1	7	1	1	2	586	509	34	8	95	Flickr
2	1	8	0	0	0	0	174	640	372	-1	
3	1	8	1	0	0	0	174	640	372	-1	
4	1	8	1	1	0	0	174	640	372	-1	
5	1	8	1	1	1	0	174	640	372	95	 

