level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	47	206	272	103	-1	
3	1	1	1	0	0	25	206	294	103	-1	
4	1	1	1	1	0	48	206	217	37	-1	
5	1	1	1	1	1	48	206	16	18	94	A
5	1	1	1	1	2	145	234	1	4	24	;
5	1	1	1	1	3	190	207	75	36	96	Many
4	1	1	1	2	0	47	232	272	77	-1	
5	1	1	1	2	1	47	232	97	72	34	os
5	1	1	1	2	2	176	244	12	65	92	(
5	1	1	1	2	3	202	236	117	22	56	different
2	1	2	0	0	0	35	260	311	42	-1	
3	1	2	1	0	0	35	260	311	42	-1	
4	1	2	1	1	0	35	260	311	42	-1	
5	1	2	1	1	1	35	260	112	40	92	problem
5	1	2	1	1	2	202	266	144	36	96	approaches
2	1	3	0	0	0	26	316	528	41	-1	
3	1	3	1	0	0	26	316	528	41	-1	
4	1	3	1	1	0	26	316	528	41	-1	
5	1	3	1	1	1	26	317	208	32	96	Behaviour
5	1	3	1	1	2	247	316	155	41	95	Change
5	1	3	1	1	3	419	317	30	31	96	is
5	1	3	1	1	4	467	317	87	31	96	hard
2	1	4	0	0	0	124	375	133	27	-1	
3	1	4	1	0	0	124	373	411	29	-1	
4	1	4	1	1	0	124	375	133	27	-1	
5	1	4	1	1	1	124	375	33	21	0	-
5	1	4	1	1	2	188	383	69	19	58	re
5	1	4	1	1	3	363	373	172	27	17	TE
2	1	5	0	0	0	0	174	640	372	-1	
3	1	5	1	0	0	0	174	640	372	-1	
4	1	5	1	1	0	0	174	640	372	-1	
5	1	5	1	1	1	0	174	640	372	95	 

