level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	48	210	163	23	-1	
3	1	1	1	0	0	48	210	163	23	-1	
4	1	1	1	1	0	48	210	163	23	-1	
5	1	1	1	1	1	48	210	105	23	0	oat
5	1	1	1	1	2	156	211	55	22	26	Usd
2	1	2	0	0	0	84	269	436	46	-1	
3	1	2	1	0	0	84	269	436	46	-1	
4	1	2	1	1	0	84	269	436	46	-1	
5	1	2	1	1	1	84	269	97	45	27	$241k
5	1	2	1	1	2	183	265	28	54	77	_
5	1	2	1	1	3	225	275	85	40	37	Aten
5	1	2	1	1	4	364	279	49	35	55	4g
5	1	2	1	1	5	498	280	22	35	0	,
2	1	3	0	0	0	93	353	454	128	-1	
3	1	3	1	0	0	93	353	451	128	-1	
4	1	3	1	1	0	107	353	435	58	-1	
5	1	3	1	1	1	107	385	16	10	0	i
5	1	3	1	1	2	155	378	17	33	49	cn
5	1	3	1	1	3	234	372	32	9	19	kaso
5	1	3	1	1	4	353	353	68	12	0	‘eta
5	1	3	1	1	5	515	354	27	10	25	rd
4	1	3	1	2	0	240	358	307	54	-1	
5	1	3	1	2	1	240	370	66	42	16	aoa)
5	1	3	1	2	2	348	364	63	36	18	pions
5	1	3	1	2	3	481	358	66	31	31	ed
4	1	3	1	3	0	93	383	11	9	-1	
5	1	3	1	3	1	93	383	11	9	31	ey
4	1	3	1	4	0	488	386	53	24	-1	
5	1	3	1	4	1	488	386	53	24	25	patra
4	1	3	1	5	0	116	457	222	24	-1	
5	1	3	1	5	1	116	467	106	14	0	Da
5	1	3	1	5	2	290	457	48	22	11	cea
2	1	4	0	0	0	133	457	351	57	-1	
3	1	4	1	0	0	140	457	348	48	-1	
4	1	4	1	1	0	289	457	195	41	-1	
5	1	4	1	1	1	289	493	5	5	92	~
5	1	4	1	1	2	430	457	54	30	94	78.7%
4	1	4	1	2	0	133	482	218	32	-1	
5	1	4	1	2	1	133	482	25	32	25	bate
5	1	4	1	2	2	261	469	43	31	0	som
5	1	4	1	2	3	303	469	52	31	0	aratceee
2	1	5	0	0	0	415	502	88	7	-1	
3	1	5	1	0	0	415	502	88	7	-1	
4	1	5	1	1	0	415	502	88	7	-1	
5	1	5	1	1	1	415	502	88	7	95	 

