level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	38	174	602	372	-1	
3	1	1	1	0	0	38	174	602	372	-1	
4	1	1	1	1	0	306	174	334	37	-1	
5	1	1	1	1	1	306	174	334	37	95	 
4	1	1	1	2	0	288	211	352	75	-1	
5	1	1	1	2	1	288	211	352	75	95	  
4	1	1	1	3	0	38	286	602	206	-1	
5	1	1	1	3	1	38	286	602	206	95	    
4	1	1	1	4	0	249	492	391	54	-1	
5	1	1	1	4	1	249	492	391	54	95	  
2	1	2	0	0	0	40	226	329	142	-1	
3	1	2	1	0	0	40	226	329	105	-1	
4	1	2	1	1	0	41	226	309	31	-1	
5	1	2	1	1	1	41	226	89	24	96	Online
5	1	2	1	1	2	138	227	109	30	96	Grocery
5	1	2	1	1	3	255	226	80	24	96	Deliver
4	1	2	1	2	0	40	264	329	30	-1	
5	1	2	1	2	1	40	264	36	23	95	An
5	1	2	1	2	2	84	264	167	30	96	Opportunity
5	1	2	1	2	3	258	264	28	23	93	to
5	1	2	1	2	4	301	272	68	20	93	Addre
4	1	2	1	3	0	42	301	304	30	-1	
5	1	2	1	3	1	42	301	68	24	96	Food
5	1	2	1	3	2	119	301	143	30	0	Disparities
5	1	2	1	3	3	270	301	22	23	0	in
3	1	2	2	0	0	40	338	263	30	-1	
4	1	2	2	1	0	40	338	263	30	-1	
5	1	2	2	1	1	40	338	263	30	92	Transportation-sca
2	1	3	0	0	0	38	503	211	23	-1	
3	1	3	1	0	0	38	503	211	23	-1	
4	1	3	1	1	0	38	503	211	23	-1	
5	1	3	1	1	1	38	503	35	23	5	Dy
5	1	3	1	1	2	78	503	54	22	0	ape
5	1	3	1	1	3	130	503	55	22	13	aS
5	1	3	1	1	4	198	503	30	14	16	CU

