level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	146	251	352	26	-1	
3	1	1	1	0	0	146	251	352	26	-1	
4	1	1	1	1	0	146	251	352	26	-1	
5	1	1	1	1	1	146	251	180	26	91	Magnetips
5	1	1	1	1	2	340	251	158	21	96	hardware
2	1	2	0	0	0	209	447	225	9	-1	
3	1	2	1	0	0	209	447	225	9	-1	
4	1	2	1	1	0	209	447	225	9	-1	
5	1	2	1	1	1	209	447	22	7	96	But
5	1	2	1	1	2	236	449	23	5	96	can
5	1	2	1	1	3	264	447	27	7	94	also
5	1	2	1	1	4	296	447	16	7	96	be
5	1	2	1	1	5	317	447	31	7	96	used
5	1	2	1	1	6	353	447	27	7	94	with
5	1	2	1	1	7	386	447	48	9	82	phones
2	1	3	0	0	0	0	220	640	282	-1	
3	1	3	1	0	0	0	220	640	282	-1	
4	1	3	1	1	0	0	220	640	282	-1	
5	1	3	1	1	1	0	220	640	282	95	 

