level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	28	195	111	21	-1	
3	1	1	1	0	0	28	195	111	21	-1	
4	1	1	1	1	0	28	195	111	21	-1	
5	1	1	1	1	1	28	195	111	21	18	OF
2	1	2	0	0	0	41	284	237	131	-1	
3	1	2	1	0	0	41	284	237	131	-1	
4	1	2	1	1	0	43	284	149	19	-1	
5	1	2	1	1	1	43	285	26	17	96	To
5	1	2	1	1	2	75	284	117	19	96	understand
4	1	2	1	2	0	43	312	138	23	-1	
5	1	2	1	2	1	43	312	138	23	95	opportunities
4	1	2	1	3	0	42	341	236	16	-1	
5	1	2	1	3	1	42	341	108	16	7	Leese
5	1	2	1	3	2	153	341	78	13	12	REC
5	1	2	1	3	3	226	337	18	24	7	ea
5	1	2	1	3	4	234	341	44	13	20	od
4	1	2	1	4	0	41	360	227	14	-1	
5	1	2	1	4	1	59	360	209	14	10	Eo
4	1	2	1	5	0	41	380	234	16	-1	
5	1	2	1	5	1	41	380	79	16	3	Pe
5	1	2	1	5	2	123	380	93	13	8	renee
5	1	2	1	5	3	217	380	58	12	13	nat
4	1	2	1	6	0	42	400	146	15	-1	
5	1	2	1	6	1	42	400	93	15	92	healthy-food
5	1	2	1	6	2	139	403	49	9	93	access
2	1	3	0	0	0	41	434	180	22	-1	
3	1	3	1	0	0	41	434	180	22	-1	
4	1	3	1	1	0	41	434	172	10	-1	
5	1	3	1	1	1	41	434	172	10	0	Cea
5	1	3	1	1	2	172	425	33	28	0	Seo
4	1	3	1	2	0	41	447	180	9	-1	
5	1	3	1	2	1	41	447	83	9	17	PCE
5	1	3	1	2	2	165	437	59	28	6	cers.)
2	1	4	0	0	0	306	174	334	372	-1	
3	1	4	1	0	0	306	174	334	372	-1	
4	1	4	1	1	0	306	174	334	372	-1	
5	1	4	1	1	1	306	174	334	372	95	 

