level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	48	210	88	18	-1	
3	1	1	1	0	0	48	210	88	18	-1	
4	1	1	1	1	0	48	210	88	18	-1	
5	1	1	1	1	1	48	210	88	18	95	Methods
2	1	2	0	0	0	37	245	448	76	-1	
3	1	2	1	0	0	37	245	448	76	-1	
4	1	2	1	1	0	139	245	346	12	-1	
5	1	2	1	1	1	130	237	73	29	81	Randomized
5	1	2	1	1	2	202	237	47	29	96	selection
5	1	2	1	1	3	253	237	13	29	96	of
5	1	2	1	1	4	270	237	8	29	96	20
5	1	2	1	1	5	282	237	64	29	63	participants
5	1	2	1	1	6	345	237	15	29	63	to
5	1	2	1	1	7	359	237	30	29	92	Shipt
5	1	2	1	1	8	393	237	8	29	96	or
5	1	2	1	1	9	405	237	40	29	96	Control
5	1	2	1	1	10	449	237	37	29	85	groups
4	1	2	1	2	0	37	296	131	13	-1	
5	1	2	1	2	1	37	296	131	13	5	Be
5	1	2	1	2	2	107	292	30	24	22	eka
5	1	2	1	2	3	139	292	30	24	20	called
4	1	2	1	3	0	61	311	83	10	-1	
5	1	2	1	3	1	61	311	83	10	19	porns
2	1	3	0	0	0	70	326	65	26	-1	
3	1	3	1	0	0	70	326	65	26	-1	
4	1	3	1	1	0	87	326	31	9	-1	
5	1	3	1	1	1	87	326	31	9	29	Ce
4	1	3	1	2	0	70	340	65	12	-1	
5	1	3	1	2	1	70	340	65	12	8	Sry
2	1	4	0	0	0	182	266	408	238	-1	
3	1	4	1	0	0	182	266	408	238	-1	
4	1	4	1	1	0	182	266	408	238	-1	
5	1	4	1	1	1	182	266	408	238	95	 

