level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	121	259	408	46	-1	
3	1	1	1	0	0	121	259	408	46	-1	
4	1	1	1	1	0	136	259	379	21	-1	
5	1	1	1	1	1	136	259	142	21	96	Leveraging
5	1	1	1	1	2	291	259	69	16	92	Distal
5	1	1	1	1	3	371	259	144	16	91	Vibrotactile
4	1	1	1	2	0	121	285	408	20	-1	
5	1	1	1	2	1	121	285	127	16	96	Feedback
5	1	1	1	2	2	258	285	33	16	96	for
5	1	1	1	2	3	300	285	81	20	95	Target
5	1	1	1	2	4	389	285	140	20	96	Acquisition
2	1	2	0	0	0	0	220	640	282	-1	
3	1	2	1	0	0	0	220	640	282	-1	
4	1	2	1	1	0	0	220	640	282	-1	
5	1	2	1	1	1	0	220	640	282	95	 

