level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	121	209	394	37	-1	
3	1	1	1	0	0	121	209	394	37	-1	
4	1	1	1	1	0	121	209	394	37	-1	
5	1	1	1	1	1	121	209	112	29	91	Bitcoin
5	1	1	1	1	2	250	209	110	37	96	Mining
5	1	1	1	1	3	377	209	138	29	96	Process
2	1	2	0	0	0	37	297	65	26	-1	
3	1	2	1	0	0	37	297	65	26	-1	
4	1	2	1	1	0	37	297	65	13	-1	
5	1	2	1	1	1	37	297	31	10	94	Alice
5	1	2	1	1	2	73	299	29	11	96	pays
4	1	2	1	2	0	58	312	24	11	-1	
5	1	2	1	2	1	58	312	24	11	0	Ex)
2	1	3	0	0	0	167	456	79	60	-1	
3	1	3	1	0	0	167	456	79	60	-1	
4	1	3	1	1	0	167	456	79	10	-1	
5	1	3	1	1	1	167	456	65	10	19	Rete
4	1	3	1	2	0	169	471	75	11	-1	
5	1	3	1	2	1	169	471	75	11	32	acca
4	1	3	1	3	0	173	487	67	11	-1	
5	1	3	1	3	1	173	487	67	11	19	Eee)
4	1	3	1	4	0	187	502	39	14	-1	
5	1	3	1	4	1	187	502	39	14	0	ero
2	1	4	0	0	0	353	296	94	44	-1	
3	1	4	1	0	0	353	296	94	44	-1	
4	1	4	1	1	0	356	296	88	10	-1	
5	1	4	1	1	1	356	296	73	10	96	Transaction
5	1	4	1	1	2	435	298	9	8	69	is
4	1	4	1	2	0	353	311	94	11	-1	
5	1	4	1	2	1	353	311	94	11	6	Peek
4	1	4	1	3	0	359	327	82	13	-1	
5	1	4	1	3	1	359	327	82	13	0	fSuerdsed
2	1	5	0	0	0	329	451	89	29	-1	
3	1	5	1	0	0	329	451	89	29	-1	
4	1	5	1	1	0	339	451	70	11	-1	
5	1	5	1	1	1	339	451	48	11	0	oT
5	1	5	1	1	2	392	451	17	10	0	hos
4	1	5	1	2	0	329	469	89	11	-1	
5	1	5	1	2	1	329	469	48	11	10	PT
5	1	5	1	2	2	383	469	35	8	33	Ra
2	1	6	0	0	0	515	293	90	42	-1	
3	1	6	1	0	0	515	293	90	42	-1	
4	1	6	1	1	0	519	293	81	11	-1	
5	1	6	1	1	1	519	293	81	11	12	Bieta}
4	1	6	1	2	0	515	309	90	13	-1	
5	1	6	1	2	1	515	312	20	8	96	are
5	1	6	1	2	2	540	309	65	13	87	processed
4	1	6	1	3	0	530	325	60	10	-1	
5	1	6	1	3	1	530	325	60	10	23	felons’
2	1	7	0	0	0	504	450	101	75	-1	
3	1	7	1	0	0	504	450	101	45	-1	
4	1	7	1	1	0	504	450	101	13	-1	
5	1	7	1	1	1	504	450	101	13	3	Pee
4	1	7	1	2	0	518	465	72	11	-1	
5	1	7	1	2	1	534	465	56	11	18	ney)
4	1	7	1	3	0	519	481	70	14	-1	
5	1	7	1	3	1	519	481	70	14	8	Pesta)
3	1	7	2	0	0	510	497	88	28	-1	
4	1	7	2	1	0	510	497	88	13	-1	
5	1	7	2	1	1	510	497	88	13	21	Cereal
4	1	7	2	2	0	535	515	39	10	-1	
5	1	7	2	2	1	535	515	39	10	28	og
2	1	8	0	0	0	0	174	640	372	-1	
3	1	8	1	0	0	0	174	640	372	-1	
4	1	8	1	1	0	0	174	640	372	-1	
5	1	8	1	1	1	0	174	640	372	95	 

