level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	49	222	87	19	-1	
3	1	1	1	0	0	49	222	87	19	-1	
4	1	1	1	1	0	49	222	87	19	-1	
5	1	1	1	1	1	49	222	87	19	96	ANGLE
2	1	2	0	0	0	51	278	527	110	-1	
3	1	2	1	0	0	51	278	220	16	-1	
4	1	2	1	1	0	51	278	220	16	-1	
5	1	2	1	1	1	51	278	101	16	74	>Example
5	1	2	1	1	2	160	278	111	13	96	Guidelines:
3	1	2	2	0	0	51	303	527	85	-1	
4	1	2	2	1	0	51	303	287	17	-1	
5	1	2	2	1	1	51	308	12	7	0	>
5	1	2	2	1	2	62	304	52	16	0	Four
5	1	2	2	1	3	121	303	130	13	96	unconnected
5	1	2	2	1	4	261	307	77	12	96	regions:
4	1	2	2	2	0	114	325	381	14	-1	
5	1	2	2	2	1	114	325	45	14	88	(-90°,
5	1	2	2	2	2	166	325	44	14	90	-70°),
5	1	2	2	2	3	218	325	46	14	88	(-30°,
5	1	2	2	2	4	271	325	46	14	89	-10°),
5	1	2	2	2	5	324	325	38	14	96	(10°,
5	1	2	2	2	6	370	325	39	14	96	30°),
5	1	2	2	2	7	416	325	38	13	94	(50°,
5	1	2	2	2	8	461	325	34	14	96	90°)
4	1	2	2	3	0	114	347	447	17	-1	
5	1	2	2	3	1	114	348	34	12	96	Poke:
5	1	2	2	3	2	172	348	40	16	96	Five
5	1	2	2	3	3	219	347	71	16	93	stimuli;
5	1	2	2	3	4	300	347	40	13	92	-90°,
5	1	2	2	3	5	362	348	39	15	92	-30°,
5	1	2	2	3	6	408	348	27	15	95	0°,
5	1	2	2	3	7	444	347	32	13	96	30°
5	1	2	2	3	8	484	348	36	12	96	and
5	1	2	2	3	9	528	347	33	14	96	90°
4	1	2	2	4	0	113	372	465	16	-1	
5	1	2	2	4	1	113	373	77	12	62	VIBRATION:
5	1	2	2	4	2	217	373	46	15	96	Four
5	1	2	2	4	3	270	372	72	15	87	stimuli;
5	1	2	2	4	4	351	372	46	15	91	-90°,
5	1	2	2	4	5	406	372	46	15	92	-30°,
5	1	2	2	4	6	461	372	32	13	96	30°
5	1	2	2	4	7	501	372	36	13	95	and
5	1	2	2	4	8	545	372	33	13	95	90°
2	1	3	0	0	0	51	421	435	17	-1	
3	1	3	1	0	0	51	421	435	17	-1	
4	1	3	1	1	0	51	421	435	17	-1	
5	1	3	1	1	1	51	421	107	14	32	>VisRATION
5	1	3	1	1	2	166	422	32	13	93	felt
5	1	3	1	1	3	206	422	91	16	92	spreaded
5	1	3	1	1	4	306	422	101	16	96	compared
5	1	3	1	1	5	415	423	19	12	93	to
5	1	3	1	1	6	443	422	43	13	75	PoKE
2	1	4	0	0	0	51	471	517	17	-1	
3	1	4	1	0	0	51	471	517	17	-1	
4	1	4	1	1	0	51	471	517	17	-1	
5	1	4	1	1	1	51	471	12	13	4	>
5	1	4	1	1	2	63	471	58	17	4	Away
5	1	4	1	1	3	128	471	47	13	96	from
5	1	4	1	1	4	183	472	32	12	96	the
5	1	4	1	1	5	223	471	58	17	96	finger
5	1	4	1	1	6	297	475	22	13	96	tip,
5	1	4	1	1	7	328	472	61	16	96	haptic
5	1	4	1	1	8	397	472	100	12	96	resolution
5	1	4	1	1	9	506	472	13	13	96	is
5	1	4	1	1	10	528	471	40	14	96	less.
2	1	5	0	0	0	0	174	640	372	-1	
3	1	5	1	0	0	0	174	640	372	-1	
4	1	5	1	1	0	0	174	640	372	-1	
5	1	5	1	1	1	0	174	640	372	95	 

