level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	34	202	274	30	-1	
3	1	1	1	0	0	34	202	274	30	-1	
4	1	1	1	1	0	34	202	274	30	-1	
5	1	1	1	1	1	34	202	167	30	96	Synchronous
5	1	1	1	1	2	211	202	97	30	96	Sharing
2	1	2	0	0	0	345	456	2	22	-1	
3	1	2	1	0	0	345	456	2	22	-1	
4	1	2	1	1	0	345	456	2	22	-1	
5	1	2	1	1	1	345	456	2	22	95	 
2	1	3	0	0	0	42	260	545	286	-1	
3	1	3	1	0	0	42	260	545	286	-1	
4	1	3	1	1	0	42	260	545	286	-1	
5	1	3	1	1	1	42	260	545	286	95	 

