level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	14	231	261	17	-1	
3	1	1	1	0	0	14	231	261	17	-1	
4	1	1	1	1	0	14	231	261	17	-1	
5	1	1	1	1	1	14	232	121	12	96	Annotation
5	1	1	1	1	2	145	231	130	17	95	Throughput
2	1	2	0	0	0	14	272	510	23	-1	
3	1	2	1	0	0	14	272	510	23	-1	
4	1	2	1	1	0	14	272	510	11	-1	
5	1	2	1	1	1	14	275	3	2	77	+
5	1	2	1	1	2	26	272	41	8	96	Binary
5	1	2	1	1	3	68	274	66	9	95	labeling
5	1	2	1	1	4	140	272	29	8	96	task
5	1	2	1	1	5	175	272	30	8	96	took
5	1	2	1	1	6	214	272	7	8	42	hi
5	1	2	1	1	7	273	274	3	1	93	ong
5	1	2	1	1	8	304	278	2	2	32	«
5	1	2	1	1	9	372	272	30	8	68	jabel
5	1	2	1	1	10	408	273	18	7	93	for
5	1	2	1	1	11	434	274	15	6	96	an
5	1	2	1	1	12	456	272	68	8	92	individual
4	1	2	1	2	0	26	287	77	8	-1	
5	1	2	1	2	1	26	287	77	8	92	annotation
2	1	3	0	0	0	227	334	315	22	-1	
3	1	3	1	0	0	227	334	315	22	-1	
4	1	3	1	1	0	252	334	290	9	-1	
5	1	3	1	1	1	243	323	38	28	96	Time
5	1	3	1	1	2	281	335	19	6	96	to
5	1	3	1	1	3	305	334	95	9	95	Complete
5	1	3	1	1	4	366	323	67	28	90	Individual
5	1	3	1	1	5	439	334	69	7	94	Annotation
5	1	3	1	1	6	514	323	28	28	96	Task
4	1	3	1	2	0	227	346	220	10	-1	
5	1	3	1	2	1	227	348	35	7	49	Binary
5	1	3	1	2	2	265	335	24	28	0	|}
5	1	3	1	2	3	339	335	27	28	17	———
5	1	3	1	2	4	381	346	66	10	17	jensen
2	1	4	0	0	0	104	405	51	19	-1	
3	1	4	1	0	0	104	405	51	19	-1	
4	1	4	1	1	0	105	405	48	7	-1	
5	1	4	1	1	1	105	406	30	6	0	rch.
5	1	4	1	1	2	144	405	9	7	87	Mi
4	1	4	1	2	0	104	417	51	7	-1	
5	1	4	1	2	1	104	417	30	7	11	Hrehi.
5	1	4	1	2	2	143	417	12	7	60	Me
2	1	5	0	0	0	375	468	50	8	-1	
3	1	5	1	0	0	375	468	50	8	-1	
4	1	5	1	1	0	375	468	50	8	-1	
5	1	5	1	1	1	375	468	23	7	92	Time
5	1	5	1	1	2	409	469	16	7	70	(s)
2	1	6	0	0	0	0	186	640	350	-1	
3	1	6	1	0	0	0	186	640	350	-1	
4	1	6	1	1	0	0	186	640	350	-1	
5	1	6	1	1	1	0	186	640	350	95	 

