level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	0	179	571	67	-1	
3	1	1	1	0	0	0	179	571	67	-1	
4	1	1	1	1	0	0	179	183	19	-1	
5	1	1	1	1	1	34	174	17	34	22	Ld
5	1	1	1	1	2	0	179	183	19	19	al
4	1	1	1	2	0	48	220	523	26	-1	
5	1	1	1	2	1	48	222	15	19	95	A
5	1	1	1	2	2	71	223	115	23	95	taxonomy
5	1	1	1	2	3	195	220	23	21	96	of
5	1	1	1	2	4	226	221	71	20	96	online
5	1	1	1	2	5	307	227	73	14	96	career
5	1	1	1	2	6	389	221	73	20	96	advice
5	1	1	1	2	7	473	223	98	23	96	requests
2	1	2	0	0	0	132	270	370	248	-1	
3	1	2	1	0	0	132	270	370	248	-1	
4	1	2	1	1	0	132	270	370	248	-1	
5	1	2	1	1	1	132	270	370	248	95	 

