level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	48	201	474	64	-1	
3	1	1	1	0	0	48	201	474	64	-1	
4	1	1	1	1	0	48	201	474	29	-1	
5	1	1	1	1	1	48	203	41	21	96	We
5	1	1	1	1	2	100	209	38	15	95	ran
5	1	1	1	1	3	150	203	49	21	96	PCA
5	1	1	1	1	4	207	205	25	19	95	to
5	1	1	1	1	5	243	201	95	29	95	identify
5	1	1	1	1	6	349	203	59	21	96	main
5	1	1	1	1	7	419	205	68	25	95	types
5	1	1	1	1	8	497	201	25	23	95	of
4	1	1	1	2	0	50	244	126	21	-1	
5	1	1	1	2	1	50	232	29	39	22	nox
5	1	1	1	2	2	75	244	101	21	13	oleae
2	1	2	0	0	0	48	290	456	88	-1	
3	1	2	1	0	0	48	290	456	88	-1	
4	1	2	1	1	0	48	290	456	17	-1	
5	1	2	1	1	1	48	290	112	14	14	Dan
5	1	2	1	1	2	165	291	30	13	0	Cree
5	1	2	1	1	3	236	281	43	30	29	ea
5	1	2	1	1	4	294	291	25	16	0	eM
5	1	2	1	1	5	335	294	75	13	27	as
5	1	2	1	1	6	416	291	41	13	0	ene
5	1	2	1	1	7	464	291	40	13	0	nS
4	1	2	1	2	0	48	331	258	17	-1	
5	1	2	1	2	1	48	332	27	12	96	Ran
5	1	2	1	2	2	82	331	63	16	96	Principal
5	1	2	1	2	3	151	331	89	16	96	Component
5	1	2	1	2	4	245	331	61	17	96	Analysis
4	1	2	1	3	0	71	366	234	12	-1	
5	1	2	1	3	1	71	366	111	12	29	eee
5	1	2	1	3	2	251	367	54	11	15	aCe
2	1	3	0	0	0	72	399	269	14	-1	
3	1	3	1	0	0	72	399	269	14	-1	
4	1	3	1	1	0	72	399	269	14	-1	
5	1	3	1	1	1	72	399	108	12	4	Pee
5	1	3	1	1	2	185	399	28	12	2	Rn
5	1	3	1	1	3	218	399	65	12	3	alm
5	1	3	1	1	4	288	399	53	14	0	orld
2	1	4	0	0	0	72	431	245	15	-1	
3	1	4	1	0	0	72	431	245	15	-1	
4	1	4	1	1	0	72	431	245	15	-1	
5	1	4	1	1	1	72	432	15	11	12	Se
5	1	4	1	1	2	92	432	35	11	22	UM
5	1	4	1	1	3	164	431	38	12	4	oom
5	1	4	1	1	4	207	431	110	15	0	need

