level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	0	179	551	51	-1	
3	1	1	1	0	0	0	179	551	51	-1	
4	1	1	1	1	0	0	179	183	19	-1	
5	1	1	1	1	1	0	179	183	19	11	Ci
4	1	1	1	2	0	50	202	501	28	-1	
5	1	1	1	2	1	50	204	108	21	96	Promote
5	1	1	1	2	2	168	209	80	16	96	career
5	1	1	1	2	3	257	202	80	23	96	advice
5	1	1	1	2	4	348	209	127	21	95	responses
5	1	1	1	2	5	486	209	65	16	96	users
2	1	2	0	0	0	48	241	66	23	-1	
3	1	2	1	0	0	48	241	66	23	-1	
4	1	2	1	1	0	48	241	66	23	-1	
5	1	2	1	1	1	48	241	66	23	96	value
2	1	3	0	0	0	49	294	461	64	-1	
3	1	3	1	0	0	49	294	461	64	-1	
4	1	3	1	1	0	49	294	250	21	-1	
5	1	3	1	1	1	49	294	96	21	95	Intelligent
5	1	3	1	1	2	153	299	87	16	96	response
5	1	3	1	1	3	247	295	52	16	96	critic:
4	1	3	1	2	0	72	339	438	19	-1	
5	1	3	1	2	1	72	339	149	16	92	Guidance-related
5	1	3	1	2	2	228	339	55	16	96	advice
5	1	3	1	2	3	289	343	86	15	96	responses
5	1	3	1	2	4	381	341	18	14	96	to
5	1	3	1	2	5	405	340	71	15	96	increase
5	1	3	1	2	6	482	339	28	16	96	the
2	1	4	0	0	0	73	378	209	19	-1	
3	1	4	1	0	0	73	378	209	19	-1	
4	1	4	1	1	0	73	378	209	19	-1	
5	1	4	1	1	1	73	378	82	16	95	likelihood
5	1	4	1	1	2	162	378	18	15	97	of
5	1	4	1	1	3	185	380	97	17	96	acceptance
2	1	5	0	0	0	523	484	51	8	-1	
3	1	5	1	0	0	523	484	51	8	-1	
4	1	5	1	1	0	523	484	51	8	-1	
5	1	5	1	1	1	523	484	51	8	22	rad

