level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	249	251	141	13	-1	
3	1	1	1	0	0	249	251	141	13	-1	
4	1	1	1	1	0	249	251	141	13	-1	
5	1	1	1	1	1	249	251	71	13	56	What's
5	1	1	1	1	2	330	251	60	13	96	next?
2	1	2	0	0	0	179	287	122	9	-1	
3	1	2	1	0	0	179	287	122	9	-1	
4	1	2	1	1	0	179	287	122	9	-1	
5	1	2	1	1	1	179	288	14	6	96	this
5	1	2	1	1	2	207	287	67	9	93	phenomenon
5	1	2	1	1	3	285	289	16	5	92	v
2	1	3	0	0	0	221	337	212	7	-1	
3	1	3	1	0	0	221	337	212	7	-1	
4	1	3	1	1	0	221	337	212	7	-1	
5	1	3	1	1	1	217	325	5	28	58	s
5	1	3	1	1	2	221	337	61	7	91	(locations)
5	1	3	1	1	3	294	337	17	7	96	of
5	1	3	1	1	4	322	337	28	7	93	distal
5	1	3	1	1	5	358	337	62	7	90	vibrotactile
5	1	3	1	1	6	423	337	10	5	66	f
2	1	4	0	0	0	222	362	124	7	-1	
3	1	4	1	0	0	222	362	124	7	-1	
4	1	4	1	1	0	222	362	124	7	-1	
5	1	4	1	1	1	222	362	61	7	0	brotactile
5	1	4	1	1	2	290	362	56	7	93	feedback
2	1	5	0	0	0	0	220	640	282	-1	
3	1	5	1	0	0	0	220	640	282	-1	
4	1	5	1	1	0	0	220	640	282	-1	
5	1	5	1	1	1	0	220	640	282	95	 

