level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	47	204	475	25	-1	
3	1	1	1	0	0	47	204	475	25	-1	
4	1	1	1	1	0	47	204	475	25	-1	
5	1	1	1	1	1	47	204	48	19	96	Task
5	1	1	1	1	2	104	205	11	18	96	2:
5	1	1	1	1	3	131	205	119	24	96	Symmetric
5	1	1	1	1	4	260	204	69	25	96	Single
5	1	1	1	1	5	338	204	69	20	96	Varied
5	1	1	1	1	6	419	205	60	19	97	Force
5	1	1	1	1	7	488	204	34	20	96	Cle
2	1	2	0	0	0	146	288	346	9	-1	
3	1	2	1	0	0	146	288	346	9	-1	
4	1	2	1	1	0	146	288	346	9	-1	
5	1	2	1	1	1	146	288	112	9	15	Peon
5	1	2	1	1	2	427	289	65	8	17	fries)
2	1	3	0	0	0	0	174	640	344	-1	
3	1	3	1	0	0	0	174	640	344	-1	
4	1	3	1	1	0	0	174	640	344	-1	
5	1	3	1	1	1	0	174	640	344	95	 

