level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	120	288	174	12	-1	
3	1	1	1	0	0	120	288	174	12	-1	
4	1	1	1	1	0	120	288	174	12	-1	
5	1	1	1	1	1	120	288	22	12	83	on
5	1	1	1	1	2	210	288	28	12	12	0
5	1	1	1	1	3	245	290	16	8	12	++
5	1	1	1	1	4	270	288	24	12	26	on
2	1	2	0	0	0	84	312	94	45	-1	
3	1	2	1	0	0	84	312	94	45	-1	
4	1	2	1	1	0	84	312	94	35	-1	
5	1	2	1	1	1	84	312	94	35	12	ow
4	1	2	1	2	0	159	345	12	12	-1	
5	1	2	1	2	1	159	345	12	12	56	oO
2	1	3	0	0	0	159	375	64	12	-1	
3	1	3	1	0	0	159	375	64	12	-1	
4	1	3	1	1	0	159	375	64	12	-1	
5	1	3	1	1	1	159	375	64	12	39	Ow
2	1	4	0	0	0	0	189	640	357	-1	
3	1	4	1	0	0	0	189	640	357	-1	
4	1	4	1	1	0	0	189	640	357	-1	
5	1	4	1	1	1	0	189	640	357	95	 

