level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	93	226	244	25	-1	
3	1	1	1	0	0	93	226	244	25	-1	
4	1	1	1	1	0	93	226	244	25	-1	
5	1	1	1	1	1	93	226	156	25	96	Experimental
5	1	1	1	1	2	258	226	79	25	96	design
2	1	2	0	0	0	130	367	379	81	-1	
3	1	2	1	0	0	156	367	353	34	-1	
4	1	2	1	1	0	269	367	240	15	-1	
5	1	2	1	1	1	269	370	14	9	94	ve
5	1	2	1	1	2	289	367	30	14	96	they
5	1	2	1	1	3	326	367	42	12	96	made
5	1	2	1	1	4	374	371	7	8	96	a
5	1	2	1	1	5	389	367	42	12	93	better
5	1	2	1	1	6	438	367	71	15	93	recording
4	1	2	1	2	0	156	389	210	12	-1	
5	1	2	1	2	1	156	389	29	12	93	with
5	1	2	1	2	2	191	389	51	12	78	VoiceAssist
5	1	2	1	2	3	286	398	2	3	95	vs
5	1	2	1	2	4	314	389	52	12	96	without?
3	1	2	2	0	0	130	413	91	35	-1	
4	1	2	2	1	0	130	413	91	12	-1	
5	1	2	2	1	1	130	413	8	12	86	3.
5	1	2	2	1	2	147	403	20	32	86	Do
5	1	2	2	1	3	169	413	52	12	77	third-
4	1	2	2	2	0	157	435	38	13	-1	
5	1	2	2	2	1	157	435	28	13	93	with
5	1	2	2	2	2	191	435	4	10	74	V
2	1	3	0	0	0	74	174	492	372	-1	
3	1	3	1	0	0	74	174	492	372	-1	
4	1	3	1	1	0	74	174	492	372	-1	
5	1	3	1	1	1	74	174	492	372	95	 

