level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	99	207	441	22	-1	
3	1	1	1	0	0	99	207	441	22	-1	
4	1	1	1	1	0	99	207	441	22	-1	
5	1	1	1	1	1	99	208	71	21	95	Impact
5	1	1	1	1	2	177	212	24	13	96	on
5	1	1	1	1	3	209	208	56	17	96	audio
5	1	1	1	1	4	274	208	67	21	95	quality
5	1	1	1	1	5	348	212	100	13	96	measures
5	1	1	1	1	6	456	207	84	22	92	(control)
2	1	2	0	0	0	200	344	293	43	-1	
3	1	2	1	0	0	212	344	281	37	-1	
4	1	2	1	1	0	230	344	246	12	-1	
5	1	2	1	1	1	230	344	21	12	94	No
5	1	2	1	1	2	455	344	21	12	93	No
4	1	2	1	2	0	200	355	293	32	-1	
5	1	2	1	2	1	200	355	67	32	96	change
5	1	2	1	2	2	382	362	33	3	81	—
5	1	2	1	2	3	437	365	56	16	72	change
2	1	3	0	0	0	214	445	304	16	-1	
3	1	3	1	0	0	214	445	304	16	-1	
4	1	3	1	1	0	214	445	304	16	-1	
5	1	3	1	1	1	214	448	43	10	70	ission
5	1	3	1	1	2	263	445	41	13	96	index
5	1	3	1	1	3	365	445	48	16	96	Signal
5	1	3	1	1	4	419	446	13	12	95	to
5	1	3	1	1	5	438	445	41	13	95	noise
5	1	3	1	1	6	485	445	33	13	96	ratio
2	1	4	0	0	0	74	174	492	372	-1	
3	1	4	1	0	0	74	174	492	372	-1	
4	1	4	1	1	0	74	174	492	372	-1	
5	1	4	1	1	1	74	174	492	372	95	 

