level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	99	206	210	26	-1	
3	1	1	1	0	0	99	206	210	26	-1	
4	1	1	1	1	0	99	206	210	26	-1	
5	1	1	1	1	1	99	206	124	26	96	Subjective
5	1	1	1	1	2	232	207	77	19	96	results
2	1	2	0	0	0	237	312	232	39	-1	
3	1	2	1	0	0	237	312	232	39	-1	
4	1	2	1	1	0	237	312	232	20	-1	
5	1	2	1	1	1	237	312	1	10	94	|
5	1	2	1	1	2	250	315	19	13	86	Ist
5	1	2	1	1	3	274	315	72	17	95	recording
5	1	2	1	1	4	343	304	18	34	90	|
5	1	2	1	1	5	366	315	26	13	90	2nd
5	1	2	1	1	6	398	315	71	17	96	recording
4	1	2	1	2	0	365	338	18	13	-1	
5	1	2	1	2	1	365	338	18	13	95	62
2	1	3	0	0	0	74	174	492	372	-1	
3	1	3	1	0	0	74	174	492	372	-1	
4	1	3	1	1	0	74	174	492	372	-1	
5	1	3	1	1	1	74	174	492	372	95	 

