level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	155	215	332	35	-1	
3	1	1	1	0	0	155	215	332	35	-1	
4	1	1	1	1	0	155	215	332	35	-1	
5	1	1	1	1	1	155	215	332	35	96	Accountability
2	1	2	0	0	0	71	270	421	29	-1	
3	1	2	1	0	0	71	270	421	29	-1	
4	1	2	1	1	0	71	270	421	14	-1	
5	1	2	1	1	1	71	270	35	11	96	Can
5	1	2	1	1	2	113	270	98	14	96	algorithmic
5	1	2	1	1	3	219	270	74	13	96	subjects
5	1	2	1	1	4	300	270	71	11	89	address
5	1	2	1	1	5	379	271	18	10	96	its
5	1	2	1	1	6	404	270	63	11	96	failures
5	1	2	1	1	7	474	273	18	8	96	or
4	1	2	1	2	0	72	288	121	11	-1	
5	1	2	1	2	1	72	288	121	11	92	inaccuracies?
2	1	3	0	0	0	71	326	307	14	-1	
3	1	3	1	0	0	71	326	307	14	-1	
4	1	3	1	1	0	71	326	307	14	-1	
5	1	3	1	1	1	71	326	99	11	95	Conducted
5	1	3	1	1	2	177	329	10	8	96	a
5	1	3	1	1	3	194	326	50	11	96	round
5	1	3	1	1	4	252	326	16	11	96	of
5	1	3	1	1	5	275	329	38	8	96	user
5	1	3	1	1	6	319	327	59	13	96	testing
2	1	4	0	0	0	72	364	342	14	-1	
3	1	4	1	0	0	72	364	342	14	-1	
4	1	4	1	1	0	72	364	342	14	-1	
5	1	4	1	1	1	72	364	94	13	96	Developed
5	1	4	1	1	2	174	364	61	11	96	several
5	1	4	1	1	3	243	364	80	11	96	solutions
5	1	4	1	1	4	330	364	84	14	96	including:
2	1	5	0	0	0	73	402	201	13	-1	
3	1	5	1	0	0	73	402	201	13	-1	
4	1	5	1	1	0	73	402	201	13	-1	
5	1	5	1	1	1	73	405	6	5	75	*
5	1	5	1	1	2	93	402	61	13	96	Appeal
5	1	5	1	1	3	163	402	111	11	96	mechanisms
2	1	6	0	0	0	73	439	126	12	-1	
3	1	6	1	0	0	73	439	126	12	-1	
4	1	6	1	1	0	73	439	126	12	-1	
5	1	6	1	1	1	73	443	6	5	56	*
5	1	6	1	1	2	93	439	106	12	96	Substitution
2	1	7	0	0	0	0	174	640	372	-1	
3	1	7	1	0	0	0	174	640	372	-1	
4	1	7	1	1	0	0	174	640	372	-1	
5	1	7	1	1	1	0	174	640	372	95	 

