level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	24	222	250	24	-1	
3	1	1	1	0	0	24	222	250	24	-1	
4	1	1	1	1	0	24	222	250	24	-1	
5	1	1	1	1	1	24	222	18	19	96	3.
5	1	1	1	1	2	52	222	50	19	96	Goal
5	1	1	1	1	3	112	222	75	24	96	Setting
5	1	1	1	1	4	196	222	78	24	96	Theory
2	1	2	0	0	0	24	250	244	14	-1	
3	1	2	1	0	0	24	250	244	14	-1	
4	1	2	1	1	0	24	250	244	14	-1	
5	1	2	1	1	1	24	251	41	12	93	Locke
5	1	2	1	1	2	71	250	10	12	93	&
5	1	2	1	1	3	86	251	52	12	96	Latham
5	1	2	1	1	4	145	251	38	13	96	1990,
5	1	2	1	1	5	189	251	38	13	96	2002,
5	1	2	1	1	6	234	251	34	12	95	2006
2	1	3	0	0	0	0	174	640	372	-1	
3	1	3	1	0	0	0	174	640	372	-1	
4	1	3	1	1	0	0	174	640	372	-1	
5	1	3	1	1	1	0	174	640	372	95	 

