level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	25	222	208	20	-1	
3	1	1	1	0	0	25	222	208	20	-1	
4	1	1	1	1	0	25	222	208	20	-1	
5	1	1	1	1	1	25	224	55	18	96	HAM
5	1	1	1	1	2	90	222	69	20	96	Phase
5	1	1	1	1	3	166	223	19	19	96	3:
5	1	1	1	1	4	193	224	40	18	95	Act
2	1	2	0	0	0	355	367	114	37	-1	
3	1	2	1	0	0	355	367	125	37	-1	
4	1	2	1	1	0	355	367	114	37	-1	
5	1	2	1	1	1	355	371	64	28	79	OUTCOME
5	1	2	1	1	2	459	367	10	37	37	Qo
2	1	3	0	0	0	22	327	57	27	-1	
3	1	3	1	0	0	22	327	57	27	-1	
4	1	3	1	1	0	22	327	57	10	-1	
5	1	3	1	1	1	22	327	43	10	95	PHASE
5	1	3	1	1	2	69	327	10	10	94	3:
4	1	3	1	2	0	22	344	25	10	-1	
5	1	3	1	2	1	22	344	25	10	85	ACT
2	1	4	0	0	0	0	174	640	372	-1	
3	1	4	1	0	0	0	174	640	372	-1	
4	1	4	1	1	0	0	174	640	372	-1	
5	1	4	1	1	1	0	174	640	372	95	 

