level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	24	223	110	23	-1	
3	1	1	1	0	0	24	223	110	23	-1	
4	1	1	1	1	0	24	223	110	23	-1	
5	1	1	1	1	1	24	223	110	23	96	Summary
2	1	2	0	0	0	26	271	330	87	-1	
3	1	2	1	0	0	26	271	330	87	-1	
4	1	2	1	1	0	28	271	288	25	-1	
5	1	2	1	1	1	28	271	17	20	96	1.
5	1	2	1	1	2	57	272	68	19	96	Habits
5	1	2	1	1	3	135	278	12	8	97	=
5	1	2	1	1	4	155	272	124	24	96	opportunity
5	1	2	1	1	5	287	272	29	19	97	for
4	1	2	1	2	0	57	303	193	23	-1	
5	1	2	1	2	1	57	303	102	23	96	long-term
5	1	2	1	2	2	169	303	81	23	96	change
4	1	2	1	3	0	26	334	330	24	-1	
5	1	2	1	3	1	26	334	19	19	96	2.
5	1	2	1	3	2	56	335	72	23	93	Target
5	1	2	1	3	3	136	335	139	18	91	nonconsious
5	1	2	1	3	4	284	335	54	23	95	Type
5	1	2	1	3	5	349	335	7	18	96	1
2	1	3	0	0	0	42	369	319	128	-1	
3	1	3	1	0	0	56	369	299	59	-1	
4	1	3	1	1	0	57	369	298	24	-1	
5	1	3	1	1	1	57	369	109	19	96	behaviour
5	1	3	1	1	2	173	369	74	19	96	drivers
5	1	3	1	1	3	256	369	79	24	96	directly
5	1	3	1	1	4	343	373	12	12	97	+
4	1	3	1	2	0	56	404	193	24	-1	
5	1	3	1	2	1	56	404	110	19	96	conscious
5	1	3	1	2	2	174	404	55	24	96	Type
5	1	3	1	2	3	237	404	12	18	96	2
3	1	3	2	0	0	42	439	319	58	-1	
4	1	3	2	1	0	42	439	319	24	-1	
5	1	3	2	1	1	42	454	3	3	89	.
5	1	3	2	1	2	56	439	129	24	96	Technology
5	1	3	2	1	3	193	444	38	13	96	can
5	1	3	2	1	4	241	439	45	24	95	play
5	1	3	2	1	5	293	444	7	13	95	a
5	1	3	2	1	6	299	439	62	22	95	role,
4	1	3	2	2	0	57	474	299	23	-1	
5	1	3	2	2	1	57	474	33	19	96	but
5	1	3	2	2	2	99	474	28	19	94	it’s
5	1	3	2	2	3	136	475	33	18	96	not
5	1	3	2	2	4	177	474	33	18	96	the
5	1	3	2	2	5	219	474	46	23	96	only
5	1	3	2	2	6	272	474	84	19	97	solution
2	1	4	0	0	0	0	174	640	372	-1	
3	1	4	1	0	0	0	174	640	372	-1	
4	1	4	1	1	0	0	174	640	372	-1	
5	1	4	1	1	1	0	174	640	372	95	 

