level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	70	218	472	284	-1	
3	1	1	1	0	0	70	218	472	284	-1	
4	1	1	1	1	0	70	218	472	181	-1	
5	1	1	1	1	1	70	218	472	181	95	   
4	1	1	1	2	0	70	399	106	103	-1	
5	1	1	1	2	1	70	399	106	103	95	 
2	1	2	0	0	0	190	381	323	86	-1	
3	1	2	1	0	0	190	381	321	31	-1	
4	1	2	1	1	0	190	381	321	12	-1	
5	1	2	1	1	1	183	372	38	28	67	While
5	1	2	1	1	2	221	372	33	28	96	these
5	1	2	1	1	3	256	372	42	28	91	issues
5	1	2	1	1	4	298	372	40	28	96	should
5	1	2	1	1	5	340	372	38	28	96	ideally
5	1	2	1	1	6	382	372	14	28	96	be
5	1	2	1	1	7	398	372	36	28	96	taken
5	1	2	1	1	8	433	372	19	28	95	up
5	1	2	1	1	9	452	372	16	28	31	in
4	1	2	1	2	0	191	400	281	12	-1	
5	1	2	1	2	1	191	400	281	12	8	td
3	1	2	2	0	0	191	418	322	49	-1	
4	1	2	2	1	0	191	418	295	12	-1	
5	1	2	2	1	1	282	409	22	28	23	ee
5	1	2	2	1	2	306	418	180	12	18	ett
5	1	2	2	1	3	429	409	48	28	12	eur
4	1	2	2	2	0	191	437	322	12	-1	
5	1	2	2	2	1	191	437	257	12	34	Cea
5	1	2	2	2	2	268	427	34	28	29	arc
5	1	2	2	2	3	305	427	50	28	10	ee
5	1	2	2	2	4	357	427	36	28	9	ee
5	1	2	2	2	5	452	437	18	9	9	ee
5	1	2	2	2	6	474	437	39	12	11	cy
4	1	2	2	3	0	191	457	49	10	-1	
5	1	2	2	3	1	191	457	49	10	75	Process.

